train_loss,train_acc,valid_loss,valid_acc
0.2182017862796783,0.919817328453064,0.0591841042041778,0.9775148034095764
0.0712197721004486,0.9764019250869752,0.1118267923593521,0.939644992351532
0.0300150346010923,0.9913727641105652,0.0153964953497052,0.9964497089385986
0.0135018648579716,0.9949251413345336,0.3580928146839142,0.9254437685012816
0.0247597992420196,0.9918802380561828,0.0204481016844511,0.9940828680992126
0.0100520746782422,0.997208833694458,0.0123847927898168,0.997633159160614
0.0102517306804656,0.9969550967216492,0.0329428538680076,0.9952662587165833
0.0084860567003488,0.9984775185585022,0.0054853204637765,0.9988165497779846
0.0137531990185379,0.9961938858032228,0.0047645601443946,0.9988165497779846
0.0057587944902479,0.9984775185585022,0.0067526898346841,0.9988165497779846
0.0033142236061394,0.9992387890815736,0.0048977425321936,0.9988165497779846
